Name;URL;Codename;Cores;Clock;Socket;Process;L3 Cache;TDP;Released;Vendor
Atom S1240;/cpu-specs/atom-s1240.c1457;Centerton;2  / 4;1600 MHz;BGA 1283;32 nm;N/A;6 W;Dec 11th, 2012;Intel
Atom S1260;/cpu-specs/atom-s1260.c1456;Centerton;2  / 4;2000 MHz;BGA 1283;32 nm;N/A;9 W;Dec 11th, 2012;Intel
Atom Z2460;/cpu-specs/atom-z2460.c1436;Penwell;1 ;1300 MHz;BGA 617;32 nm;N/A;3 W;Jan 1st, 2012;Intel
Atom Z2760;/cpu-specs/atom-z2760.c1437;Cloverview;2 ;1800 MHz;BGA 617;32 nm;N/A;3 W;Sep 27th, 2012;Intel
Celeron 797;/cpu-specs/celeron-797.c1332;Sandy Bridge;1 ;1400 MHz;BGA 1023;32 nm;1.5 MB;17 W;Jan 1st, 2012;Intel
Celeron 807;/cpu-specs/celeron-807.c1333;Sandy Bridge;1 ;1500 MHz;BGA 1023;32 nm;1.5 MB;17 W;Jul 1st, 2012;Intel
Celeron 867;/cpu-specs/celeron-867.c1336;Sandy Bridge;2 ;1300 MHz;BGA 1023;32 nm;2 MB;17 W;Jan 1st, 2012;Intel
Celeron 877;/cpu-specs/celeron-877.c1337;Sandy Bridge;2 ;1400 MHz;BGA 1023;32 nm;2 MB;17 W;Jul 1st, 2012;Intel
Celeron 887;/cpu-specs/celeron-887.c1338;Sandy Bridge;2 ;1500 MHz;BGA 1023;32 nm;2 MB;17 W;Sep 1st, 2012;Intel
Celeron B720;/cpu-specs/celeron-b720.c1323;Sandy Bridge;1 ;1700 MHz;Socket G2 (988B);32 nm;1.5 MB;35 W;Jan 1st, 2012;Intel
Celeron B730;/cpu-specs/celeron-b730.c1324;Sandy Bridge;1 ;1800 MHz;Socket G2 (988B);32 nm;1.5 MB;35 W;Jul 1st, 2012;Intel
Celeron B815;/cpu-specs/celeron-b815.c1327;Sandy Bridge;2 ;1600 MHz;Socket G2 (988B);32 nm;2 MB;35 W;Jan 1st, 2012;Intel
Celeron B820;/cpu-specs/celeron-b820.c1328;Sandy Bridge;2 ;1700 MHz;Socket G2 (988B);32 nm;2 MB;35 W;Jul 1st, 2012;Intel
Celeron B830;/cpu-specs/celeron-b830.c1329;Sandy Bridge;2 ;1800 MHz;Socket G2 (988B);32 nm;2 MB;35 W;Sep 1st, 2012;Intel
Celeron G1610;/cpu-specs/celeron-g1610.c1482;Ivy Bridge;2 ;2.6 GHz;Socket 1155;22 nm;2 MB;55 W;Dec 3rd, 2012;Intel
Celeron G1610T;/cpu-specs/celeron-g1610t.c1484;Ivy Bridge;2 ;2.3 GHz;Socket 1155;22 nm;2 MB;35 W;Dec 3rd, 2012;Intel
Celeron G1620;/cpu-specs/celeron-g1620.c1483;Ivy Bridge;2 ;2.7 GHz;Socket 1155;22 nm;2 MB;55 W;Dec 3rd, 2012;Intel
Celeron G465;/cpu-specs/celeron-g465.c1341;Sandy Bridge;1 ;1900 MHz;Socket 1155;32 nm;1.5 MB;35 W;Sep 1st, 2012;Intel
Celeron G550;/cpu-specs/celeron-g550.c1339;Sandy Bridge;2 ;2.6 GHz;Socket 1155;32 nm;2 MB;65 W;Jun 1st, 2012;Intel
Celeron G555;/cpu-specs/celeron-g555.c1340;Sandy Bridge;2 ;2.7 GHz;Socket 1155;32 nm;2 MB;65 W;Sep 1st, 2012;Intel
Pentium 2020M;/cpu-specs/pentium-2020m.c1303;Ivy Bridge;2 ;2.4 GHz;Socket G2 (988B);22 nm;2 MB;35 W;Sep 1st, 2012;Intel
Pentium 2117U;/cpu-specs/pentium-2117u.c1304;Ivy Bridge;2 ;1800 MHz;BGA 1023;22 nm;2 MB;17 W;Sep 1st, 2012;Intel
Pentium 2117U;/cpu-specs/pentium-2117u.c1587;Ivy Bridge;2 ;1800 MHz;Socket G2 (988B);22 nm;2 MB;17 W;Sep 1st, 2012;Intel
Pentium 2129Y;/cpu-specs/pentium-2129y.c1588;Ivy Bridge;2 ;1100 MHz;BGA 1023;22 nm;2 MB;10 W;Sep 1st, 2012;Intel
Pentium 977;/cpu-specs/pentium-977.c1320;Sandy Bridge;2 ;1400 MHz;BGA 1023;32 nm;2 MB;17 W;Jan 1st, 2012;Intel
Pentium 997;/cpu-specs/pentium-997.c1321;Sandy Bridge;2 ;1600 MHz;BGA 1023;32 nm;2 MB;17 W;Sep 1st, 2012;Intel
Pentium B915C;/cpu-specs/pentium-b915c.c1581;Sandy Bridge;2 ;1500 MHz;Socket G2 (988B);32 nm;2 MB;35 W;May 1st, 2012;Intel
Pentium B970;/cpu-specs/pentium-b970.c1316;Sandy Bridge;2 ;2.3 GHz;Socket G2 (988B);32 nm;2 MB;35 W;Jan 1st, 2012;Intel
Pentium B980;/cpu-specs/pentium-b980.c1317;Sandy Bridge;2 ;2.4 GHz;Socket G2 (988B);32 nm;2 MB;35 W;Sep 1st, 2012;Intel
Pentium G2100T;/cpu-specs/pentium-g2100t.c1355;Ivy Bridge;2 ;2.6 GHz;Socket 1155;22 nm;3 MB;35 W;Sep 3rd, 2012;Intel
Pentium G2120;/cpu-specs/pentium-g2120.c1354;Ivy Bridge;2 ;3.1 GHz;Socket 1155;22 nm;3 MB;55 W;Sep 3rd, 2012;Intel
Pentium G640;/cpu-specs/pentium-g640.c1348;Sandy Bridge;2 ;2.8 GHz;Socket 1155;32 nm;3 MB;65 W;Jun 3rd, 2012;Intel
Pentium G640T;/cpu-specs/pentium-g640t.c1351;Sandy Bridge;2 ;2.4 GHz;Socket 1155;32 nm;3 MB;35 W;Jun 3rd, 2012;Intel
Pentium G645;/cpu-specs/pentium-g645.c1349;Sandy Bridge;2 ;2.9 GHz;Socket 1155;32 nm;3 MB;65 W;Sep 2nd, 2012;Intel
Pentium G645T;/cpu-specs/pentium-g645t.c1353;Sandy Bridge;2 ;2.5 GHz;Socket 1155;32 nm;3 MB;35 W;Sep 2nd, 2012;Intel
Pentium G860T;/cpu-specs/pentium-g860t.c1352;Sandy Bridge;2 ;2.6 GHz;Socket 1155;32 nm;3 MB;35 W;Jun 3rd, 2012;Intel
Pentium G870;/cpu-specs/pentium-g870.c1350;Sandy Bridge;2 ;3.1 GHz;Socket 1155;32 nm;3 MB;65 W;Jun 3rd, 2012;Intel
Core i3-2115C;/cpu-specs/core-i3-2115c.c1580;Sandy Bridge;2  / 4;2000 MHz;Socket 1155;32 nm;3 MB;65 W;May 1st, 2012;Intel
Core i3-2328M;/cpu-specs/core-i3-2328m.c1343;Sandy Bridge;2  / 4;2.2 GHz;Socket G2 (988B);32 nm;3 MB;35 W;Sep 1st, 2012;Intel
Core i3-2370M;/cpu-specs/core-i3-2370m.c1311;Sandy Bridge;2  / 4;2.4 GHz;Socket G2 (988B);32 nm;3 MB;35 W;Jan 1st, 2012;Intel
Core i3-2377M;/cpu-specs/core-i3-2377m.c1393;Sandy Bridge;2  / 4;1500 MHz;BGA 1023;32 nm;3 MB;17 W;Sep 1st, 2012;Intel
Core i3-3110M;/cpu-specs/core-i3-3110m.c1059;Ivy Bridge;2  / 4;2.4 GHz;Socket G2 (988B);22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i3-3110M;/cpu-specs/core-i3-3110m.c1060;Ivy Bridge;2  / 4;2.4 GHz;BGA 1023;22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i3-3120M;/cpu-specs/core-i3-3120m.c1379;Ivy Bridge;2  / 4;2.5 GHz;BGA 1023;22 nm;3 MB;35 W;Sep 30th, 2012;Intel
Core i3-3120M;/cpu-specs/core-i3-3120m.c1380;Ivy Bridge;2  / 4;2.5 GHz;Socket G2 (988B);22 nm;3 MB;35 W;Sep 30th, 2012;Intel
Core i3-3120ME;/cpu-specs/core-i3-3120me.c1061;Ivy Bridge;2  / 4;2.4 GHz;BGA 1023;22 nm;3 MB;35 W;Aug 1st, 2012;Intel
Core i3-3217U;/cpu-specs/core-i3-3217u.c1062;Ivy Bridge;2  / 4;1800 MHz;BGA 1023;22 nm;3 MB;17 W;Jun 1st, 2012;Intel
Core i3-3217UE;/cpu-specs/core-i3-3217ue.c1063;Ivy Bridge;2  / 4;1600 MHz;BGA 1023;22 nm;3 MB;17 W;Aug 1st, 2012;Intel
Core i3-3220;/cpu-specs/core-i3-3220.c1053;Ivy Bridge;2  / 4;3.3 GHz;Socket 1155;22 nm;3 MB;55 W;Sep 3rd, 2012;Intel
Core i3-3220T;/cpu-specs/core-i3-3220t.c1055;Ivy Bridge;2  / 4;2.8 GHz;Socket 1155;22 nm;3 MB;35 W;Sep 3rd, 2012;Intel
Core i3-3225;/cpu-specs/core-i3-3225.c1047;Ivy Bridge;2  / 4;3.3 GHz;Socket 1155;22 nm;3 MB;55 W;Sep 3rd, 2012;Intel
Core i3-3240;/cpu-specs/core-i3-3240.c1054;Ivy Bridge;2  / 4;3.4 GHz;Socket 1155;22 nm;3 MB;55 W;Sep 3rd, 2012;Intel
Core i3-3240T;/cpu-specs/core-i3-3240t.c1056;Ivy Bridge;2  / 4;3 GHz;Socket 1155;22 nm;3 MB;35 W;Sep 3rd, 2012;Intel
Core i5-2380P;/cpu-specs/core-i5-2380p.c957;Sandy Bridge;4 ;3.1 to 3.4 GHz;Socket 1155;32 nm;6 MB;95 W;Jan 30th, 2012;Intel
Core i5-2450M;/cpu-specs/core-i5-2450m.c1310;Sandy Bridge;2  / 4;2.5 GHz;BGA 1023;32 nm;3 MB;35 W;Jan 1st, 2012;Intel
Core i5-2450M;/cpu-specs/core-i5-2450m.c1309;Sandy Bridge;2  / 4;2.5 GHz;Socket G2 (988B);32 nm;3 MB;35 W;Jan 1st, 2012;Intel
Core i5-2450P;/cpu-specs/core-i5-2450p.c956;Sandy Bridge;4 ;3.2 to 3.5 GHz;Socket 1155;32 nm;6 MB;95 W;Jan 30th, 2012;Intel
Core i5-2550K;/cpu-specs/core-i5-2550k.c955;Sandy Bridge;4 ;3.4 to 3.8 GHz;Socket 1155;32 nm;6 MB;95 W;Jan 30th, 2012;Intel
Core i5-3210M;/cpu-specs/core-i5-3210m.c1065;Ivy Bridge;2  / 4;2.5 to 3.1 GHz;BGA 1023;22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i5-3210M;/cpu-specs/core-i5-3210m.c1064;Ivy Bridge;2  / 4;2.5 to 3.1 GHz;Socket G2 (988B);22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i5-3317U;/cpu-specs/core-i5-3317u.c1074;Ivy Bridge;2  / 4;1.7 to 2.6 GHz;BGA 1023;22 nm;3 MB;17 W;Jun 1st, 2012;Intel
Core i5-3320M;/cpu-specs/core-i5-3320m.c1067;Ivy Bridge;2  / 4;2.6 to 3.3 GHz;Socket G2 (988B);22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i5-3320M;/cpu-specs/core-i5-3320m.c1066;Ivy Bridge;2  / 4;2.6 to 3.3 GHz;BGA 1023;22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i5-3330;/cpu-specs/core-i5-3330.c1076;Ivy Bridge;4 ;3 to 3.2 GHz;Socket 1155;22 nm;6 MB;77 W;Sep 3rd, 2012;Intel
Core i5-3330S;/cpu-specs/core-i5-3330s.c1077;Ivy Bridge;4 ;2.7 to 3.2 GHz;Socket 1155;22 nm;6 MB;77 W;Sep 3rd, 2012;Intel
Core i5-3335S;/cpu-specs/core-i5-3335s.c1212;Ivy Bridge;4 ;2.7 to 3.2 GHz;Socket 1155;22 nm;6 MB;65 W;Nov 1st, 2012;Intel
Core i5-3350P;/cpu-specs/core-i5-3350p.c1078;Ivy Bridge;4 ;3.1 to 3.3 GHz;Socket 1155;22 nm;6 MB;69 W;Sep 3rd, 2012;Intel
Core i5-3360M;/cpu-specs/core-i5-3360m.c1070;Ivy Bridge;2  / 4;2.8 to 3.5 GHz;Socket G2 (988B);22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i5-3360M;/cpu-specs/core-i5-3360m.c1069;Ivy Bridge;2  / 4;2.8 to 3.5 GHz;BGA 1023;22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i5-3365M;/cpu-specs/core-i5-3365m.c1214;Ivy Bridge;2  / 4;2.8 to 3.5 GHz;BGA 1023;22 nm;3 MB;35 W;Nov 1st, 2012;Intel
Core i5-3427U;/cpu-specs/core-i5-3427u.c1075;Ivy Bridge;2  / 4;1.8 to 2.8 GHz;BGA 1023;22 nm;3 MB;17 W;Jun 1st, 2012;Intel
Core i5-3450;/cpu-specs/core-i5-3450.c1015;Ivy Bridge;4 ;3.1 to 3.5 GHz;Socket 1155;22 nm;6 MB;77 W;Apr 29th, 2012;Intel
Core i5-3450S;/cpu-specs/core-i5-3450s.c1016;Ivy Bridge;4 ;2.8 to 3.5 GHz;Socket 1155;22 nm;6 MB;65 W;Apr 29th, 2012;Intel
Core i5-3470;/cpu-specs/core-i5-3470.c1039;Ivy Bridge;4 ;3.2 to 3.6 GHz;Socket 1155;22 nm;6 MB;77 W;Jun 1st, 2012;Intel
Core i5-3470S;/cpu-specs/core-i5-3470s.c1040;Ivy Bridge;4 ;2.9 to 3.6 GHz;Socket 1155;22 nm;6 MB;65 W;Jun 1st, 2012;Intel
Core i5-3470T;/cpu-specs/core-i5-3470t.c1041;Ivy Bridge;2  / 4;2.9 to 3.6 GHz;Socket 1155;22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i5-3475S;/cpu-specs/core-i5-3475s.c1042;Ivy Bridge;4 ;2.9 to 3.6 GHz;Socket 1155;22 nm;6 MB;65 W;Jun 1st, 2012;Intel
Core i5-3550;/cpu-specs/core-i5-3550.c1006;Ivy Bridge;4 ;3.3 to 3.7 GHz;Socket 1155;22 nm;6 MB;77 W;Apr 29th, 2012;Intel
Core i5-3550S;/cpu-specs/core-i5-3550s.c1007;Ivy Bridge;4 ;3 to 3.7 GHz;Socket 1155;22 nm;6 MB;65 W;Apr 29th, 2012;Intel
Core i5-3570;/cpu-specs/core-i5-3570.c1057;Ivy Bridge;4 ;3.4 to 3.8 GHz;Socket 1155;22 nm;6 MB;77 W;Jun 1st, 2012;Intel
Core i5-3570K;/cpu-specs/core-i5-3570k.c1005;Ivy Bridge;4 ;3.4 to 3.8 GHz;Socket 1155;22 nm;6 MB;77 W;Apr 29th, 2012;Intel
Core i5-3570S;/cpu-specs/core-i5-3570s.c1058;Ivy Bridge;4 ;3.1 to 3.8 GHz;Socket 1155;22 nm;6 MB;65 W;Jun 1st, 2012;Intel
Core i5-3570T;/cpu-specs/core-i5-3570t.c1008;Ivy Bridge;4 ;2.3 to 3.3 GHz;Socket 1155;22 nm;6 MB;45 W;Apr 29th, 2012;Intel
Core i5-3610ME;/cpu-specs/core-i5-3610me.c1071;Ivy Bridge;2  / 4;2.7 to 3.3 GHz;Socket G2 (988B);22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i5-3610ME;/cpu-specs/core-i5-3610me.c1072;Ivy Bridge;2  / 4;2.7 to 3.3 GHz;BGA 1023;22 nm;3 MB;35 W;Jun 1st, 2012;Intel
Core i7-3517U;/cpu-specs/core-i7-3517u.c1087;Ivy Bridge;2  / 4;1.9 to 3 GHz;BGA 1023;22 nm;4 MB;17 W;Jun 3rd, 2012;Intel
Core i7-3517UE;/cpu-specs/core-i7-3517ue.c1089;Ivy Bridge;2  / 4;1.7 to 2.8 GHz;BGA 1023;22 nm;4 MB;17 W;Jun 3rd, 2012;Intel
Core i7-3520M;/cpu-specs/core-i7-3520m.c1084;Ivy Bridge;2  / 4;2.9 to 3.6 GHz;Socket G2 (988B);22 nm;4 MB;35 W;Jun 3rd, 2012;Intel
Core i7-3520M;/cpu-specs/core-i7-3520m.c1085;Ivy Bridge;2  / 4;2.9 to 3.6 GHz;BGA 1023;22 nm;4 MB;35 W;Jun 3rd, 2012;Intel
Core i7-3525M;/cpu-specs/core-i7-3525m.c1213;Ivy Bridge;2  / 4;2.9 to 3.6 GHz;BGA 1023;22 nm;4 MB;35 W;Nov 1st, 2012;Intel
Core i7-3555LE;/cpu-specs/core-i7-3555le.c1086;Ivy Bridge;2  / 4;2.5 to 3.2 GHz;BGA 1023;22 nm;4 MB;25 W;Jun 3rd, 2012;Intel
Core i7-3610QE;/cpu-specs/core-i7-3610qe.c1019;Ivy Bridge;4  / 8;2.3 to 3.3 GHz;Socket G2 (988B);22 nm;6 MB;45 W;Apr 29th, 2012;Intel
Core i7-3610QM;/cpu-specs/core-i7-3610qm.c1022;Ivy Bridge;4  / 8;2.3 to 3.3 GHz;Socket G2 (988B);22 nm;6 MB;45 W;Apr 23rd, 2012;Intel
Core i7-3612QE;/cpu-specs/core-i7-3612qe.c1018;Ivy Bridge;4  / 8;2.1 to 3.1 GHz;BGA 1023;22 nm;6 MB;35 W;Apr 29th, 2012;Intel
Core i7-3612QM;/cpu-specs/core-i7-3612qm.c1021;Ivy Bridge;4  / 8;2.1 to 3.1 GHz;BGA 1224;22 nm;6 MB;35 W;Apr 29th, 2012;Intel
Core i7-3612QM;/cpu-specs/core-i7-3612qm.c1020;Ivy Bridge;4  / 8;2.1 to 3.1 GHz;Socket G2 (988B);22 nm;6 MB;35 W;Apr 29th, 2012;Intel
Core i7-3615QE;/cpu-specs/core-i7-3615qe.c1017;Ivy Bridge;4  / 8;2.3 to 3.3 GHz;BGA 1023;22 nm;6 MB;45 W;Apr 29th, 2012;Intel
Core i7-3615QM;/cpu-specs/core-i7-3615qm.c1014;Ivy Bridge;4  / 8;2.3 to 3.3 GHz;BGA 1224;22 nm;6 MB;45 W;Apr 29th, 2012;Intel
Core i7-3630QM;/cpu-specs/core-i7-3630qm.c1218;Ivy Bridge;4  / 8;2.4 to 3.4 GHz;Socket G2 (988B);22 nm;6 MB;45 W;Sep 30th, 2012;Intel
Core i7-3632QM;/cpu-specs/core-i7-3632qm.c1220;Ivy Bridge;4  / 8;2.2 to 3.2 GHz;BGA 1224;22 nm;6 MB;35 W;Oct 19th, 2012;Intel
Core i7-3632QM;/cpu-specs/core-i7-3632qm.c1221;Ivy Bridge;4  / 8;2.2 to 3.2 GHz;Socket G2 (988B);22 nm;6 MB;35 W;Oct 19th, 2012;Intel
Core i7-3635QM;/cpu-specs/core-i7-3635qm.c1219;Ivy Bridge;4  / 8;2.4 to 3.4 GHz;BGA 1224;22 nm;6 MB;45 W;Sep 1st, 2012;Intel
Core i7-3667U;/cpu-specs/core-i7-3667u.c1088;Ivy Bridge;2  / 4;2 to 3.2 GHz;BGA 1023;22 nm;4 MB;17 W;Jun 3rd, 2012;Intel
Core i7-3720QM;/cpu-specs/core-i7-3720qm.c1013;Ivy Bridge;4  / 8;2.6 to 3.6 GHz;Socket G2 (988B);22 nm;6 MB;45 W;Apr 29th, 2012;Intel
Core i7-3720QM;/cpu-specs/core-i7-3720qm.c1012;Ivy Bridge;4  / 8;2.6 to 3.6 GHz;BGA 1224;22 nm;6 MB;45 W;Apr 29th, 2012;Intel
Core i7-3740QM;/cpu-specs/core-i7-3740qm.c1080;Ivy Bridge;4  / 8;2.7 to 3.7 GHz;BGA 1224;22 nm;6 MB;45 W;Sep 3rd, 2012;Intel
Core i7-3740QM;/cpu-specs/core-i7-3740qm.c1079;Ivy Bridge;4  / 8;2.7 to 3.7 GHz;Socket G2 (988B);22 nm;6 MB;45 W;Sep 3rd, 2012;Intel
Core i7-3770;/cpu-specs/core-i7-3770.c1002;Ivy Bridge;4  / 8;3.4 to 3.9 GHz;Socket 1155;22 nm;8 MB;77 W;Apr 29th, 2012;Intel
Core i7-3770K;/cpu-specs/core-i7-3770k.c1001;Ivy Bridge;4  / 8;3.5 to 3.9 GHz;Socket 1155;22 nm;8 MB;77 W;Apr 29th, 2012;Intel
Core i7-3770S;/cpu-specs/core-i7-3770s.c1003;Ivy Bridge;4  / 8;3.1 to 3.9 GHz;Socket 1155;22 nm;8 MB;65 W;Apr 29th, 2012;Intel
Core i7-3770T;/cpu-specs/core-i7-3770t.c1004;Ivy Bridge;4  / 8;2.5 to 3.7 GHz;Socket 1155;22 nm;8 MB;45 W;Apr 29th, 2012;Intel
Core i7-3820;/cpu-specs/core-i7-3820.c961;Sandy Bridge-E;4  / 8;3.6 to 3.8 GHz;Socket 2011;32 nm;10 MB;130 W;Feb 13th, 2012;Intel
Core i7-3820QM;/cpu-specs/core-i7-3820qm.c1011;Ivy Bridge;4  / 8;2.7 to 3.7 GHz;BGA 1224;22 nm;8 MB;45 W;Apr 29th, 2012;Intel
Core i7-3820QM;/cpu-specs/core-i7-3820qm.c1010;Ivy Bridge;4  / 8;2.7 to 3.7 GHz;Socket G2 (988B);22 nm;8 MB;45 W;Apr 29th, 2012;Intel
Core i7-3840QM;/cpu-specs/core-i7-3840qm.c1081;Ivy Bridge;4  / 8;2.8 to 3.8 GHz;Socket G2 (988B);22 nm;8 MB;45 W;Sep 3rd, 2012;Intel
Core i7-3840QM;/cpu-specs/core-i7-3840qm.c1082;Ivy Bridge;4  / 8;2.8 to 3.8 GHz;BGA 1224;22 nm;8 MB;45 W;Sep 3rd, 2012;Intel
Core i7-3920XM;/cpu-specs/core-i7-3920xm.c1009;Ivy Bridge;4  / 8;2.9 to 3.8 GHz;Socket G2 (988B);22 nm;8 MB;55 W;Apr 29th, 2012;Intel
Core i7-3940XM;/cpu-specs/core-i7-3940xm.c1083;Ivy Bridge;4  / 8;3 to 3.9 GHz;Socket G2 (988B);22 nm;8 MB;55 W;Sep 3rd, 2012;Intel
Core i7-3970X;/cpu-specs/core-i7-3970x.c1291;Sandy Bridge-E;6  / 12;3.5 to 4 GHz;Socket 2011;32 nm;15 MB;150 W;Nov 1st, 2012;Intel
Xeon E3-1105C;/cpu-specs/xeon-e3-1105c.c1702;Gladden;4 ;1000 MHz;BGA 1283;32 nm;6 MB;25 W;May 14th, 2012;Intel
Xeon E3-1125C;/cpu-specs/xeon-e3-1125c.c1703;Gladden;4 ;2000 MHz;BGA 1283;32 nm;8 MB;40 W;May 14th, 2012;Intel
Xeon E3-1220 v2;/cpu-specs/xeon-e3-1220-v2.c1033;Ivy Bridge;4 ;3.1 to 3.5 GHz;Socket 1155;22 nm;8 MB;69 W;May 14th, 2012;Intel
Xeon E3-1220L v2;/cpu-specs/xeon-e3-1220l-v2.c1038;Ivy Bridge;2  / 4;2.3 to 3.5 GHz;Socket 1155;22 nm;8 MB;17 W;May 14th, 2012;Intel
Xeon E3-1225 v2;/cpu-specs/xeon-e3-1225-v2.c1037;Ivy Bridge;4 ;3.2 to 3.6 GHz;Socket 1155;22 nm;8 MB;77 W;May 14th, 2012;Intel
Xeon E3-1230 v2;/cpu-specs/xeon-e3-1230-v2.c1032;Ivy Bridge;4  / 8;3.3 to 3.7 GHz;Socket 1155;22 nm;8 MB;69 W;May 14th, 2012;Intel
Xeon E3-1240 v2;/cpu-specs/xeon-e3-1240-v2.c1031;Ivy Bridge;4  / 8;3.4 to 3.8 GHz;Socket 1155;22 nm;8 MB;69 W;May 14th, 2012;Intel
Xeon E3-1245 v2;/cpu-specs/xeon-e3-1245-v2.c1036;Ivy Bridge;4  / 8;3.4 to 3.8 GHz;Socket 1155;22 nm;8 MB;77 W;May 14th, 2012;Intel
Xeon E3-1265L v2;/cpu-specs/xeon-e3-1265l-v2.c1035;Ivy Bridge;4  / 8;2.5 to 3.5 GHz;Socket 1155;22 nm;8 MB;45 W;May 14th, 2012;Intel
Xeon E3-1270 v2;/cpu-specs/xeon-e3-1270-v2.c1030;Ivy Bridge;4  / 8;3.5 to 3.9 GHz;Socket 1155;22 nm;8 MB;69 W;May 14th, 2012;Intel
Xeon E3-1275 v2;/cpu-specs/xeon-e3-1275-v2.c1034;Ivy Bridge;4  / 8;3.5 to 3.9 GHz;Socket 1155;22 nm;8 MB;77 W;May 14th, 2012;Intel
Xeon E3-1280 v2;/cpu-specs/xeon-e3-1280-v2.c1029;Ivy Bridge;4  / 8;3.6 to 4 GHz;Socket 1155;22 nm;8 MB;69 W;May 14th, 2012;Intel
Xeon E3-1290 v2;/cpu-specs/xeon-e3-1290-v2.c1028;Ivy Bridge;4  / 8;3.7 to 4.1 GHz;Socket 1155;22 nm;8 MB;87 W;May 14th, 2012;Intel
Xeon E5-1410;/cpu-specs/xeon-e5-1410.c1688;Sandy Bridge-EN;4  / 8;2.8 to 3.2 GHz;Socket 1356;32 nm;10 MB;80 W;May 14th, 2012;Intel
Xeon E5-1428L;/cpu-specs/xeon-e5-1428l.c1689;Sandy Bridge-EN;6  / 12;1800 MHz;Socket 1356;32 nm;15 MB;60 W;May 14th, 2012;Intel
Xeon E5-1620;/cpu-specs/xeon-e5-1620.c983;Sandy Bridge-E;4  / 8;3.6 to 3.8 GHz;Socket 2011;32 nm;10 MB;130 W;Mar 6th, 2012;Intel
Xeon E5-1650;/cpu-specs/xeon-e5-1650.c984;Sandy Bridge-E;6  / 12;3.2 to 3.8 GHz;Socket 2011;32 nm;12 MB;130 W;Mar 6th, 2012;Intel
Xeon E5-1660;/cpu-specs/xeon-e5-1660.c985;Sandy Bridge-E;6  / 12;3.3 to 3.9 GHz;Socket 2011;32 nm;15 MB;130 W;Mar 6th, 2012;Intel
Xeon E5-2403;/cpu-specs/xeon-e5-2403.c1690;Sandy Bridge-EN;4  / 8;1800 MHz;Socket 1356;32 nm;10 MB;80 W;May 14th, 2012;Intel
Xeon E5-2407;/cpu-specs/xeon-e5-2407.c1691;Sandy Bridge-EN;4  / 8;2.2 GHz;Socket 1356;32 nm;10 MB;80 W;May 14th, 2012;Intel
Xeon E5-2418L;/cpu-specs/xeon-e5-2418l.c1692;Sandy Bridge-EN;4  / 8;2 to 2.1 GHz;Socket 1356;32 nm;10 MB;50 W;May 14th, 2012;Intel
Xeon E5-2420;/cpu-specs/xeon-e5-2420.c1693;Sandy Bridge-EN;6  / 12;1.9 to 2.4 GHz;Socket 1356;32 nm;15 MB;95 W;May 14th, 2012;Intel
Xeon E5-2428L;/cpu-specs/xeon-e5-2428l.c1696;Sandy Bridge-EN;6  / 12;1.8 to 2 GHz;Socket 1356;32 nm;15 MB;60 W;May 14th, 2012;Intel
Xeon E5-2430;/cpu-specs/xeon-e5-2430.c1694;Sandy Bridge-EN;6  / 12;2.2 to 2.7 GHz;Socket 1356;32 nm;15 MB;95 W;May 14th, 2012;Intel
Xeon E5-2430L;/cpu-specs/xeon-e5-2430l.c1697;Sandy Bridge-EN;6  / 12;2 to 2.5 GHz;Socket 1356;32 nm;15 MB;60 W;May 14th, 2012;Intel
Xeon E5-2440;/cpu-specs/xeon-e5-2440.c1695;Sandy Bridge-EN;6  / 12;2.4 to 2.9 GHz;Socket 1356;32 nm;15 MB;95 W;May 14th, 2012;Intel
Xeon E5-2448L;/cpu-specs/xeon-e5-2448l.c1700;Sandy Bridge-EN;8  / 16;1.8 to 2.1 GHz;Socket 1356;32 nm;20 MB;70 W;May 14th, 2012;Intel
Xeon E5-2450;/cpu-specs/xeon-e5-2450.c1698;Sandy Bridge-EN;8  / 16;2.1 to 2.9 GHz;Socket 1356;32 nm;20 MB;95 W;May 14th, 2012;Intel
Xeon E5-2450L;/cpu-specs/xeon-e5-2450l.c1701;Sandy Bridge-EN;8  / 16;1.8 to 2.3 GHz;Socket 1356;32 nm;20 MB;70 W;May 14th, 2012;Intel
Xeon E5-2470;/cpu-specs/xeon-e5-2470.c1699;Sandy Bridge-EN;8  / 16;2.3 to 3.1 GHz;Socket 1356;32 nm;20 MB;95 W;May 14th, 2012;Intel
Xeon E5-2603;/cpu-specs/xeon-e5-2603.c965;Sandy Bridge-EP;4 ;1800 MHz;Socket 2011;32 nm;10 MB;80 W;Mar 6th, 2012;Intel
